,p-error,p-iqr,p-under_mu,p-under_mu2,p-skew,p-count_var,p-count_kl,p-patchiness,p-centroids,p-point_dist,a-error,a-iqr,a-under_mu,a-under_mu2,a-skew,a-count_var,a-count_kl,a-centroids,a-point_dist,a-patchiness,EEE,VRM,IsoScore,alpha,new_average
bert-small_20_3,0.19816595,0.074155181646347,0.5174042359878972,8.571404081702625e-06,0.1874631742002759,0.1822405158825901,0.119678832563227,1.0107800274931222,0.013552337,0.8794734375,0.13628876,0.0982958078384399,0.5037928463061534,0.0,0.0662394391112525,0.1318803392628721,0.0673020871871428,0.0063106143,0.907991796875,1.0076210364343214,0.7506,0.5543,0.1916,20.0,0.41601729202095195
bert-small_13_1,0.15699187,0.0876507759094238,0.509167116665381,0.0011057111265396,-0.3231506403315211,0.4075200004781901,0.2477587790829492,1.0247234789834898,0.025306072,0.92817314453125,0.096066184,0.1037462055683136,0.5084471187225179,0.0,0.1798161122726334,0.1295628180788787,0.0674155637781191,0.008158259,0.9562087890625,1.0074802087655828,0.7693,0.5859,0.1657,13.0,0.45004713922867
bert-small_13_2,0.18260165,0.0823412239551544,0.5064328387633178,0.0002742849306144,-0.091226373423088,0.3289088087469056,0.2019236306253997,1.0198612333310555,0.021232817,0.91470185546875,0.11540707,0.1031395494937896,0.5076328353347562,0.0,0.0832881417402407,0.1176302994465142,0.0601943955177388,0.0067381943,0.9455306640625,1.0067376673107236,0.755,0.5563,0.1766,13.0,0.45444026084305067
bert-small_20_1,0.19795357,0.078582614660263,0.5138128176776637,0.0002228565061242,0.0485684136065153,0.1729614301006231,0.112101871053151,1.0102038174306538,0.012255354,0.8932767578125,0.13422221,0.1016736328601837,0.4996785723469361,0.0,0.0113060739284679,0.1167343542221765,0.0604778694316344,0.0093755545,0.91797890625,1.006684589801779,0.7534,0.5604,0.1873,20.0,0.41614768433774596
bert-small_30_2,0.23418319,0.0700887143611908,0.5135042471307225,8.571404081702625e-06,0.1422149897074822,0.0766442190073589,0.0491701498965148,1.004215754472695,0.0053381766,0.8714044921875,0.16608639,0.0894075334072113,0.4875500355713269,0.0,-0.1660238327814373,0.1073278182745946,0.0583739355401465,0.0034139273,0.88229501953125,1.0061103927890322,0.7828,0.6363,0.1662,30.0,0.3988364806415858
bert-small_8_3,0.15199792,0.0925871729850769,0.5101013997102866,0.0017828520489941,-0.2861708674145622,0.4668056093910294,0.261842909603758,1.0283475715151762,0.022540556,0.9353166015625,0.08418144,0.1151240468025207,0.5066899808857689,0.0016371381796052,-0.0350740790198356,0.2043071577277947,0.1064560548089875,0.005869609,0.9653056640625,1.0121059924875973,0.823,0.7079,0.1125,8.0,0.504348751437421
bert-small_9_1,0.15775168,0.0966557562351226,0.5316413381676053,0.0014228530775626,0.2402880319030504,0.483530102724497,0.2759545539563552,1.0293887731409543,0.022392299,0.93100732421875,0.09052894,0.116010308265686,0.5336041897023152,0.0009599972571506,0.4357388605426832,0.1828318031248998,0.0946546139514282,0.0033458613,0.96315263671875,1.0107742763423126,0.8036,0.6602,0.1309,9.0,0.49155447971881605
bert-small_40_2,0.19519198,0.0721556842327117,0.5175928068776946,0.0,0.2537721532644377,0.0543223882516877,0.0333467192868379,1.002827107518036,0.0045390795,0.8680865234374999,0.14048173,0.0850406289100647,0.4952557278407776,0.0,-0.0955368197823612,0.0803386770140572,0.0464641464897375,0.0036289212,0.8722623046875,1.0044402480143628,0.813,0.7154,0.1396,40.0,0.40586234864325454
bert-small_40_3,0.18965109,0.071914255619049,0.5126899637429607,0.0,0.1604883593597921,0.0878403183811139,0.0560372928271365,1.0049133658332776,0.006946087,0.89418017578125,0.13046296,0.0970347225666046,0.4877814634815329,0.0,-0.1413566507476777,0.0937913346179687,0.0508876897251552,0.0071111806,0.9041771484375,1.0052695498550803,0.8284,0.7602,0.1289,40.0,0.40232593799179983
bert-small_9_2,0.23498258,0.0814286768436431,0.4970985797183436,0.0013371390367456,-0.5112834363100358,0.4218101349724735,0.242565415161252,1.025586165710987,0.025540126,0.935324609375,0.13822636,0.1220068931579589,0.5073585504041417,0.0006085696898008,0.0286940399550713,0.1846852342674841,0.0967627025592489,0.0041755866,0.96316865234375,1.0108924062142224,0.779,0.6017,0.1393,9.0,0.4926126856683334
bert-small_15_2,0.22646922,0.0769924223423004,0.5054214130816769,0.0001371424653072,-0.1031091851832683,0.2439070886543832,0.1548585658993895,1.014603280878582,0.02077004,0.904200390625,0.1483689,0.0992540419101715,0.4979214345101871,0.0,-0.0313088585897751,0.1282391607249634,0.0662075566212195,0.008501019,0.93317978515625,1.0073963706813929,0.7451,0.5378,0.1836,15.0,0.42896849054473074
bert-small_15_3,0.25067943,0.071427434682846,0.5073071219796514,0.0,0.0011137538120931,0.2052303724813056,0.1260882522281369,1.0121976511964854,0.012404194,0.9091443359375,0.16505952,0.0981392562389373,0.4981357196122297,0.0,-0.0075452632832226,0.1192808855152753,0.0614344904477723,0.0043675243,0.9326337890625,1.0068412274046652,0.7413,0.5309,0.1883,15.0,0.4341647787325462
bert-small_40_1,0.17504656,0.0763731896877288,0.5176270924940214,0.0,0.2784084151129931,0.0403318265309519,0.0250843581700107,1.001957304292429,0.0038521627,0.86750927734375,0.12645128,0.082918494939804,0.5041957022979935,0.0,0.0181416964885971,0.0581267202198564,0.0332860828799312,0.004311119,0.8682485351562501,1.0030616427982406,0.8264,0.7562,0.1309,40.0,0.39022429530991687
bert-small_15_1,0.24267574,0.0711203813552856,0.5080528341347597,1.714280816340525e-05,0.015847496462433,0.1688321227102467,0.1064519075145597,1.009942539446122,0.012218405,0.8858343750000001,0.16546668,0.0967644155025482,0.498298576289782,0.0,-0.0177497138700845,0.1242572666241336,0.062919822947015,0.0049434365,0.9109666015625,1.0071475389277804,0.734,0.5178,0.2006,15.0,0.42890808440503814
bert-small_50_3,0.17453913,0.0806980431079864,0.5264042102736849,0.0,0.3582540907358442,0.0561746613035279,0.0348164923139522,1.0029420094573709,0.0043872776,0.8844232421875,0.12241674,0.0875714719295501,0.4999871428938774,0.0,-0.0303595095568888,0.0747138979524194,0.04204524337408,0.0051655537,0.8868546875000001,1.0040896493973783,0.8448,0.8061,0.1125,50.0,0.39760729158198305
bert-small_17_3,0.20341712,0.0746398270130157,0.5108128262490679,8.571404081702625e-06,0.1016988476141766,0.2436302284221298,0.1549801945705002,1.0145856201141947,0.01632922,0.89561376953125,0.13540131,0.097001165151596,0.5025328499061431,0.0,0.0417228598788961,0.1234081813801265,0.0625198595130215,0.010398985,0.925277734375,1.0070954071113911,0.7487,0.5466,0.1868,17.0,0.4208483975884786
bert-small_11_1,0.20263296,0.085427701473236,0.5095956868694661,0.0010628541061311,-0.1584489877590388,0.3879305401465139,0.2283689430497152,1.023496957469745,0.016513268,0.93488251953125,0.12189796,0.1128312051296234,0.5095185442327308,0.0004542844163302,0.0961537739759741,0.1557452668417295,0.0799717391238893,0.0038298522,0.95935712890625,1.009097760926496,0.772,0.5886,0.1531,11.0,0.45226004401771647
bert-small_17_2,0.19440639,0.0737164616584777,0.5144813871960365,2.571421224510787e-05,0.093442105008429,0.2073320642159213,0.1346654762391977,1.012334526822501,0.0113547705,0.8886851562500001,0.13171263,0.0965558290481567,0.5051642709592258,0.0,0.0522097803627344,0.1142407638720319,0.057997141492625,0.0047185784,0.9183912109375,1.0065278640361317,0.7467,0.5453,0.1944,17.0,0.41580727363634074
bert-small_17_1,0.20952526,0.078629732131958,0.5145928154490987,6.8571232653621e-05,0.1581381987006032,0.2390180399503277,0.1524494289689153,1.0143005875551994,0.018192885,0.8946528320312501,0.13932207,0.1043273210525512,0.5073928360204685,0.0,0.076751329577128,0.1152334786850377,0.0595187658600522,0.0073921634,0.9251814453125,1.006590728787108,0.7533,0.5574,0.1873,17.0,0.4337983787416056
bert-small_50_1,0.1908721,0.07907634973526,0.5174213787960605,0.0,0.280770635906277,0.0377786596019257,0.0234614808667318,1.0017990221601647,0.0034778358,0.86332099609375,0.14087,0.0863690376281738,0.5062614106816837,0.0,0.0888385006136166,0.0458064151436204,0.026792577892603,0.0024587372,0.862670703125,1.0022961472867926,0.8331,0.7797,0.128,50.0,0.3990829649856851
bert-small_11_3,0.20604564,0.086110919713974,0.5221699366573238,0.00040285599184,0.0651615462683383,0.3535770498203212,0.2116542706755404,1.021381466733791,0.017794209,0.93046162109375,0.12554589,0.1099397838115692,0.5322670506655696,0.0,0.4412078479646513,0.1263331661776799,0.0649965502321892,0.0042811516,0.956109375,1.0072772098929248,0.7695,0.5834,0.1551,11.0,0.47710363131854955
bert-small_11_2,0.11661412,0.0851965844631195,0.5119013945674441,0.0033599904000274,-0.4232935910750417,0.536660287992593,0.3035307272894145,1.032664659793004,0.018703125,0.9270955078125,0.06661227,0.1021946817636489,0.5226413638818175,1.714280816340525e-05,0.3492439666488001,0.1777570075129445,0.094378792111811,0.008077225,0.96562568359375,1.0104649514160085,0.8118,0.6836,0.1301,11.0,0.47488117230186055
bert-small_50_2,0.1759918,0.0729950070381164,0.5211499395716013,0.0,0.2991167379613065,0.0487225775618949,0.0306951283823321,1.0024796915767422,0.005261056,0.87184814453125,0.12713556,0.081374704837799,0.5008271404938843,0.0,-0.006563394704117,0.0598339593953217,0.0351348793521081,0.0049016187,0.87387451171875,1.0031670249225868,0.833,0.7723,0.1227,50.0,0.3906209666659172
bert-small_12_3,0.2143099,0.0804550051689148,0.5042128451061568,0.0006342839020459,-0.2356664274914042,0.3808676750103579,0.2333214712454379,1.0230809103451195,0.019811535,0.9214580078125,0.13210541,0.1062580645084381,0.5135642469592944,0.0003857131836766,0.1705264504832072,0.1306744661449893,0.0681777495751808,0.002967475,0.953544921875,1.0075494100681053,0.7619,0.5693,0.1694,12.0,0.4704967735158922
bert-small_60_1,0.15620136,0.0794412493705749,0.5240642169593801,0.0,0.331050299142556,0.0505258841107261,0.0304657437898964,1.0025900496073483,0.0032450708,0.87900400390625,0.11204586,0.0918592810630798,0.5060385541755595,8.571404081702625e-06,0.0718557831566291,0.0665101510417415,0.0382397210144275,0.0032178955,0.8804386718749999,1.003582334418774,0.843,0.7999,0.1152,60.0,0.36825262221038824
bert-small_12_2,0.17164233,0.0814398229122161,0.5044785586326896,0.0022542792734877,-0.6588969767438337,0.3778283175317174,0.2250211552859782,1.0228825641152632,0.021995533,0.9336447265625,0.10323081,0.104722648859024,0.5145156728123634,0.0005057128408204,0.1328731884829374,0.111466592078331,0.0588401650174272,0.0023072173,0.9581572265625,1.0063595748426837,0.7768,0.6005,0.1558,12.0,0.46143291960200405
bert-small_23_2,0.19142145,0.0734818577766418,0.5153213847960434,1.714280816340525e-05,0.1465179243630358,0.1691036296541637,0.1117421817588375,1.009966088895227,0.0146973375,0.8761585937499999,0.13327166,0.0953697562217712,0.4996442867306093,0.0,-0.0022223409958384,0.1328423026969389,0.068377613950991,0.009618398,0.9011458984375,1.0076834944610913,0.7613,0.5816,0.1846,23.0,0.40210425011831863
bert-small_23_3,0.2540209,0.0678953826427459,0.5096042582735478,0.0,0.0951283946646169,0.1031105255832484,0.0667786912684325,1.0058636410888395,0.01158244,0.8539493164062499,0.18438128,0.0879774093627929,0.4913728817917663,0.0,-0.1414640210524679,0.1012987450042772,0.0551562175713186,0.0062128007,0.8703769531250001,1.0057340912005546,0.75,0.5586,0.1954,23.0,0.4127030331185678
bert-small_23_1,0.21944824,0.0706477761268615,0.5164613815389099,0.0,0.1884565241668166,0.1166676426223988,0.0787366842634444,1.006708801647099,0.008046109,0.85565576171875,0.1583697,0.087490290403366,0.4955385841754738,8.571404081702625e-06,-0.08215370813665,0.1049624173854807,0.0570999401841475,0.010075415,0.87256474609375,1.0059627665958768,0.7532,0.5649,0.1961,23.0,0.41648735015162786
