,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl
bert-small_12_2,0.17164233,0.021995533,0.9336447265625,1.0228825641152632,0.0814398229122161,0.10323081,0.0023072173,0.9581572265625,1.0063595748426837,0.104722648859024,0.7768,0.6005,0.1558,0.5044785586326896,0.0022542792734877,-0.6588969767438337,0.5145156728123634,0.0005057128408204,0.1328731884829374,0.3778283175317174,0.2250211552859782,0.111466592078331,0.0588401650174272
bert-small_23_2,0.19142145,0.0146973375,0.8761585937499999,1.009966088895227,0.0734818577766418,0.13327166,0.009618398,0.9011458984375,1.0076834944610913,0.0953697562217712,0.7613,0.5816,0.1846,0.5153213847960434,1.714280816340525e-05,0.1465179243630358,0.4996442867306093,0.0,-0.0022223409958384,0.1691036296541637,0.1117421817588375,0.1328423026969389,0.068377613950991
bert-small_23_3,0.2540209,0.01158244,0.8539493164062499,1.0058636410888395,0.0678953826427459,0.18438128,0.0062128007,0.8703769531250001,1.0057340912005546,0.0879774093627929,0.75,0.5586,0.1954,0.5096042582735478,0.0,0.0951283946646169,0.4913728817917663,0.0,-0.1414640210524679,0.1031105255832484,0.0667786912684325,0.1012987450042772,0.0551562175713186
bert-small_23_1,0.21944824,0.008046109,0.85565576171875,1.006708801647099,0.0706477761268615,0.1583697,0.010075415,0.87256474609375,1.0059627665958768,0.087490290403366,0.7532,0.5649,0.1961,0.5164613815389099,0.0,0.1884565241668166,0.4955385841754738,8.571404081702625e-06,-0.08215370813665,0.1166676426223988,0.0787366842634444,0.1049624173854807,0.0570999401841475
bert-small_60_3,0.16936114,0.004009261,0.88715263671875,1.0025557578196282,0.0760417878627777,0.11890846,0.0041641304,0.88903642578125,1.0040301283660704,0.088189035654068,0.8417,0.8025,0.1239,0.5184413758817832,0.0,0.2655248814159937,0.4921185939468744,0.0,-0.0972153288816349,0.0499711847023075,0.0302866856613735,0.0737419114051726,0.0425179547097411
bert-small_12_1,0.22287966,0.025807321,0.9298052734375,1.0243799069385982,0.0866835117340087,0.13459757,0.002698235,0.95842587890625,1.007846817740059,0.1151537895202636,0.772,0.5887,0.1534,0.5095014014245673,0.0019971371510367,-0.2167551488933028,0.5116271096368296,0.0001971422938791,0.1959178804851886,0.4021721667156209,0.2384411670380417,0.13546105736648,0.0719399245165614
bert-small_60_2,0.17230219,0.004213375,0.8668025390625,1.0010283379763256,0.0758935809135437,0.12682551,0.0032973213,0.8654743164062499,1.0018514119995694,0.0804903507232666,0.842,0.7957,0.1111,0.5191870880368913,0.0,0.3074770686024133,0.5110271113511105,0.0,0.127200147507535,0.0254034856439774,0.0148235799132032,0.0386424768477094,0.0231198526067073
bert-small_25_2,0.14916363,0.0056520374,0.9042158203125,1.0098715490272925,0.0767192840576171,0.09871713,0.012253265,0.92621044921875,1.0075579436356683,0.0939298272132873,0.7857,0.6387,0.1625,0.5181842337593321,1.714280816340525e-05,0.1931497835477996,0.5012728535061328,0.0,0.0225170561524733,0.1676560420355894,0.1095154304214165,0.1308702073178236,0.0661667677553302
bert-small_70_2,0.10722605,0.0064430265,0.90457822265625,1.0037651069906843,0.0807609856128692,0.07290841,0.007926742,0.907501953125,1.0062775405685946,0.0959278643131256,0.8637,0.8687,0.097,0.526344210445113,0.0,0.3525703424529416,0.4958300119142517,0.0,-0.0588713706766942,0.0694327578807611,0.0412858550348274,0.1099676770292851,0.0618536338168763
bert-small_70_3,0.21397813,0.002307109,0.8591736328124999,1.001091775785252,0.0782242715358734,0.15793346,0.0026830346,0.85815341796875,1.0012772520151825,0.0748726725578308,0.8365,0.784,0.1219,0.5218613661103826,0.0,0.3280837915529114,0.513461390110314,0.0,0.1664391237397688,0.0264145721159388,0.0159805714549614,0.0294011359825386,0.0167579319712585
bert-small_25_1,0.18930107,0.011181471,0.85131787109375,1.0055437095945734,0.0698798596858978,0.13799423,0.0075226985,0.8650546875,1.00589994886504,0.0847525596618652,0.7666,0.5974,0.1827,0.5188528032777049,0.0,0.2356658578850519,0.4971585795469155,0.0,-0.0104706445114924,0.0979324239576207,0.0652508617378811,0.1039254359320314,0.0572698898970217
bert-small_25_3,0.19946404,0.009045211,0.86966533203125,1.0064289630502607,0.0731295645236969,0.14083475,0.0072947396,0.8854697265625,1.0068545147083294,0.0908183753490448,0.768,0.596,0.1794,0.5147985291470596,8.571404081702625e-06,0.1525933493408113,0.4983328619061088,0.0,-0.0301144420054379,0.1122049263109319,0.0751081143088181,0.1193625702460218,0.0647428820516583
bert-small_14_2,0.22245173,0.020353258,0.91195888671875,1.017316094307381,0.0800395309925079,0.14314707,0.005347737,0.941370703125,1.006414934003896,0.1043886840343475,0.7466,0.5402,0.1879,0.507118551089854,0.0006085696898008,-0.1520011670485258,0.5073414075959783,0.0,0.080579211303159,0.2877519960767247,0.1783500131307074,0.1123990927055305,0.0574598673545732
bert-small_14_1,0.20150419,0.016713543,0.91726083984375,1.0177189581604005,0.0796410143375396,0.12820266,0.0057853064,0.944939453125,1.0061599761138618,0.1007821559906005,0.7567,0.5605,0.1765,0.5163670960940112,9.428544489872886e-05,0.1360073694331902,0.5202413707389407,0.0,0.238347459314149,0.2941634183260695,0.1850254314623627,0.1082732372378857,0.0562240386540281
bert-small_70_1,0.1870435,0.0052642506,0.86867939453125,1.0019176527965603,0.079658031463623,0.13616946,0.0017647143,0.8683369140625,1.0024913707916363,0.0855826437473297,0.8402,0.7979,0.1195,0.5224099359716116,0.0,0.3203683866599631,0.5051471281510624,0.0,0.0506865411317277,0.0396863726392997,0.0249696622413605,0.0489496364237385,0.0279259751530195
bert-small_27_2,0.21153533,0.007901,0.8621812500000001,1.0046006648609591,0.0707247555255889,0.15254037,0.006188307,0.87480458984375,1.0056440053153315,0.0885522663593292,0.7775,0.6205,0.1706,0.5151242425021643,0.0,0.1925558827520766,0.491295739155031,0.0,-0.1003959211960908,0.0828098824093741,0.0539533701715384,0.0997790268462311,0.0557470452007125
