model,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl,average,alpha
bert-base-uncased_1_1,0.42841932,0.0078383135,0.717146274509804,1.0238027793956581,0.1227421760559082,0.31691363,0.007196903,0.72606220703125,1.0232027753793593,0.11282651126384735,0.6528,0.3525,0.1075,0.5400413141676738,0.00026571352653278135,0.5689812040703301,0.5496584295473441,0.0004971414367387521,0.7447923565984433,0.39473641323641845,0.19702022585908535,0.38627205655000935,0.181495482331887,0.7686347894739399,1.0
bert-base-uncased_10_1,0.31519926,0.02452311,0.93129951171875,1.0357781394710537,0.0758274495601654,0.1982845,0.00535683,0.9685587890624999,1.0219157448236262,0.11310046911239624,0.7861,0.6067,0.1112,0.4812586249753572,0.0023399933143048164,-0.9376686778823263,0.4960100113999674,0.000548569861228968,-0.1117871163364287,0.5878046724533539,0.31224102823513855,0.3633837496053483,0.18111244278501162,0.45452919660997515,10.0
bert-base-uncased_3_1,0.3204089,0.016813172,0.9573257843137255,1.0284847010499452,0.09080538153648376,0.1878553,0.012886828,0.9654236328125,1.0307850602805266,0.1080278754234314,0.8139,0.6762,0.0682,0.4983328619061088,0.0018257090694026588,-0.41483854377355744,0.4999528572775506,0.009119973942931592,-1.0660197938200977,0.4698520402829719,0.24399986491593895,0.5077184946527724,0.251402812917381,0.6071309042868015,3.0
bert-base-uncased_5_1,0.5700063,0.039192885,0.93306884765625,1.056178019177697,0.0668313205242157,0.39517352,0.0070189126,0.9692615234374999,1.0194370575998184,0.11732780933380127,0.6878,0.4272,0.1926,0.4289130602483993,0.0018599946857294693,-1.923443763009004,0.4757557835549041,0.0010628541061311254,-0.6354953207375473,0.9229331763185946,0.4317332445285505,0.3237580998961824,0.15321390178782243,0.526190636002706,5.0
bert-base-uncased_18_1,0.10442937,0.016606392,0.93963525390625,1.029774905465093,0.09014695882797241,0.055260196,0.009842839,0.9514059686888454,1.0278505286737925,0.1172037422657013,0.8829,0.8756,0.0553,0.5034328473347219,0.002554278416347382,-0.40920987620878496,0.4851414710243685,0.008014262816391953,-1.1713475039392236,0.49033278027617067,0.26640715726684894,0.45960352793839415,0.23596777988565776,0.397452775218014,18.0
bert-base-uncased_0_1,0.45948184,0.009420473,0.7405292850146915,1.0172736457009652,0.14678457379341125,0.3402089,0.005175641,0.72892294921875,1.0387096153564739,0.12822653353214264,0.6558,0.3103,0.0874,0.47417007379978915,0.033188476604352556,-0.2941412245122261,0.5062871248939289,0.014519958514404244,0.08259279145401546,0.2889677472534319,0.14082282148982567,0.6516896908102472,0.2401051227316731,0.7696195665059714,0.0
bert-base-uncased_5_2,0.58882475,0.033273354,0.94083466796875,1.0563876220289445,0.06284523010253906,0.41641876,0.005566203,0.96976650390625,1.0183091431960731,0.11579728126525879,0.6672,0.3966,0.219,0.4125845354727558,0.0027428493061448394,-2.537249829873861,0.4638672460935826,0.002571421224510787,-0.9134091831634576,0.9268777026698682,0.4245201048797006,0.3052963691837236,0.14787333188407356,0.5203001242873566,5.0
