quant	error	pt_var	pt_kl	cent_var	EEE_mean	patch
product	0.1246334	0.8412970560460388	0.33399300003505433	0.013621595	0.7174897565922921	1.0503733433975528
additive	0.095846966	0.5748696370363788	0.2488900786982644	0.009295408	0.74697431640625	1.0347268303105448
