quant	error	pt_var	pt_kl	cent_var	EEE_mean	patch
product	0.25902024	0.4882939093770599	1273166.2526179536	0.0076246457	0.7326438665358195	1.0295921828520809
additive	0.18215312	0.7453855368045968	1281444.1013111128	0.0035256557	0.7364814453124999	1.0447697978043613
